2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2019),2019 Passengers (10% sample),,,,,,,,,,,
263,PIH,Pocatello Regional,Pocatello,ID,610.13,610.13," 3,197 ",,,,,,,,,,,
264,PGV,Pitt Greenville,Greenville,NC,428.93,428.93," 3,188 ",,,,,,,,,,,
265,SCC,Deadhorse Airport,Deadhorse,AK,422.95,422.95," 3,167 ",,,,,,,,,,,
266,ADQ,Kodiak Airport,Kodiak,AK,498.56,498.56," 3,060 ",,,,,,,,,,,
267,JLN,Joplin Regional,Joplin,MO,463.62,463.62," 3,008 ",,,,,,,,,,,
268,RDD,Redding Municipal,Redding,CA,502.48,502.48," 2,939 ",,,,,,,,,,,
269,TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,629.02,629.02," 2,924 ",,,,,,,,,,,
270,DHN,Dothan Regional,Dothan,AL,623.98,623.98," 2,922 ",,,,,,,,,,,
271,HVN,Tweed New Haven,New Haven,CT,395.71,395.71," 2,920 ",,,,,,,,,,,
272,LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,494.15,494.15," 2,886 ",,,,,,,,,,,
273,SUX,Sioux Gateway Brig Gen Bud Day Field,Sioux City,IA,442.73,442.73," 2,827 ",,,,,,,,,,,
274,VLD,Valdosta Regional,Valdosta,GA,583.76,583.76," 2,730 ",,,,,,,,,,,
275,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,457.22,457.22," 2,712 ",,,,,,,,,,,
276,ALW,Walla Walla Regional,Walla Walla,WA,369.57,369.57," 2,688 ",,,,,,,,,,,
277,FLO,Florence Regional,Florence,SC,432.38,432.38," 2,677 ",,,,,,,,,,,
278,GTR,Golden Triangle Regional,Columbus,MS,560.93,560.93," 2,617 ",,,,,,,,,,,
279,LWS,Lewiston Nez Perce County,Lewiston,ID,551.82,551.82," 2,600 ",,,,,,,,,,,
280,BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,496.56,496.56," 2,517 ",,,,,,,,,,,
281,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,275.70,275.70," 2,494 ",,,,,,,,,,,
282,HDN,Yampa Valley,Hayden,CO,489.44,489.44," 2,447 ",,,,,,,,,,,
283,CSG,Columbus Airport,Columbus,GA,523.88,523.88," 2,400 ",,,,,,,,,,,
284,TXK,Texarkana Regional-Webb Field,Texarkana,AR,514.05,514.05," 2,379 ",,,,,,,,,,,
285,SPN,Francisco C. Ada Saipan International,Saipan,TT,388.03,388.03," 2,151 ",,,,,,,,,,,
286,DBQ,Dubuque Regional,Dubuque,IA,548.15,548.15," 2,118 ",,,,,,,,,,,
287,OTZ,Ralph Wien Memorial,Kotzebue,AK,442.49,442.49," 2,108 ",,,,,,,,,,,
288,ABY,Southwest Georgia Regional,Albany,GA,581.95,581.95," 2,094 ",,,,,,,,,,,
289,OME,Nome Airport,Nome,AK,530.59,530.59," 2,068 ",,,,,,,,,,,
290,HGR,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,164.40,164.40," 2,022 ",,,,,,,,,,,
291,BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,505.97,505.97," 2,015 ",,,,,,,,,,,
292,BJI,Bemidji Regional,Bemidji,MN,551.20,551.20," 1,957 ",,,,,,,,,,,
293,PPG,Pago Pago International,Pago Pago,TT,1143.12,1143.12," 1,861 ",,,,,,,,,,,
294,ABR,Aberdeen Regional,Aberdeen,SD,576.40,576.40," 1,855 ",,,,,,,,,,,
295,BQK,Brunswick Golden Isles,Brunswick,GA,498.42,498.42," 1,854 ",,,,,,,,,,,
296,SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,117.07,117.07," 1,847 ",,,,,,,,,,,
297,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,477.97,477.97," 1,842 ",,,,,,,,,,,
298,SWO,Stillwater Regional,Stillwater,OK,462.55,462.55," 1,816 ",,,,,,,,,,,
299,GGG,East Texas Regional,Longview,TX,501.21,501.21," 1,781 ",,,,,,,,,,,
300,COD,Yellowstone Regional,Cody,WY,555.96,555.96," 1,768 ",,,,,,,,,,,
301,OGS,Ogdensburg International,Ogdensburg,NY,296.47,296.47," 1,697 ",,,,,,,,,,,
302,CIU,Chippewa County International,Sault Ste. Marie,MI,559.74,559.74," 1,693 ",,,,,,,,,,,
303,STC,St. Cloud Regional,St. Cloud,MN,205.93,205.93," 1,677 ",,,,,,,,,,,
304,RHI,Rhinelander/Oneida County,Rhinelander,WI,545.09,545.09," 1,585 ",,,,,,,,,,,
305,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,373.86,373.86," 1,569 ",,,,,,,,,,,
306,HOB,Lea County Regional,Hobbs,NM,500.69,500.69," 1,568 ",,,,,,,,,,,
307,BTM,Bert Mooney,Butte,MT,514.33,514.33," 1,567 ",,,,,,,,,,,
308,GCC,Gillette Campbell County,Gillette,WY,573.79,573.79," 1,560 ",,,,,,,,,,,
309,GCK,Garden City Regional,Garden City,KS,490.78,490.78," 1,556 ",,,,,,,,,,,
310,CDC,Cedar City Regional,Cedar City,UT,374.94,374.94," 1,512 ",,,,,,,,,,,
311,BRD,Brainerd Lakes Regional,Brainerd,MN,577.88,577.88," 1,492 ",,,,,,,,,,,
312,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,585.75,585.75," 1,478 ",,,,,,,,,,,
313,ART,Watertown International,Watertown,NY,449.83,449.83," 1,448 ",,,,,,,,,,,
314,RKS,Southwest Wyoming Regional,Rock Springs,WY,513.96,513.96," 1,432 ",,,,,,,,,,,
315,ALO,Waterloo Regional,Waterloo,IA,497.13,497.13," 1,401 ",,,,,,,,,,,
316,DRT,Del Rio International,Del Rio,TX,429.30,429.30," 1,354 ",,,,,,,,,,,
317,MEI,Key Field,Meridian,MS,433.90,433.90," 1,318 ",,,,,,,,,,,
318,EAU,Chippewa Valley Regional,Eau Claire,WI,458.10,458.10," 1,300 ",,,,,,,,,,,
319,IMT,Ford,Iron Mountain/Kingsfd,MI,426.15,426.15," 1,252 ",,,,,,,,,,,
320,IPT,Williamsport Regional,Williamsport,PA,461.90,461.90," 1,242 ",,,,,,,,,,,
321,EKO,Elko Regional,Elko,NV,618.20,618.20," 1,235 ",,,,,,,,,,,
322,EAR,Kearney Regional,Kearney,NE,474.32,474.32," 1,182 ",,,,,,,,,,,
323,HIB,Range Regional,Hibbing,MN,554.29,554.29," 1,157 ",,,,,,,,,,,
324,LAR,Laramie Regional,Laramie,WY,517.00,517.00," 1,144 ",,,,,,,,,,,
325,ESC,Delta County,Escanaba,MI,455.13,455.13," 1,119 ",,,,,,,,,,,
326,MKG,Muskegon County,Muskegon,MI,414.54,414.54," 1,116 ",,,,,,,,,,,
327,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,587.46,587.46," 1,111 ",,,,,,,,,,,
328,CMX,Houghton County Memorial,Hancock/Houghton,MI,547.50,547.50," 1,107 ",,,,,,,,,,,
329,OWB,Owensboro Daviess County Regional,Owensboro,KY,142.78,142.78," 1,073 ",,,,,,,,,,,
330,PSG,Petersburg James A Johnson,Petersburg,AK,451.39,451.39," 1,071 ",,,,,,,,,,,
331,PRC,Prescott Regional Ernest A Love Field,Prescott,AZ,494.41,494.41," 1,046 ",,,,,,,,,,,
332,BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,480.70,480.70," 1,044 ",,,,,,,,,,,
333,XWA,Williston Basin International,Williston,ND,623.31,623.31, 999 ,,,,,,,,,,,
334,DUT,Unalaska Airport,Unalaska,AK,1071.50,1071.50, 953 ,,,,,,,,,,,
335,CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,381.55,381.55, 927 ,,,,,,,,,,,
336,BFM,Mobile Downtown,Mobile,AL,112.87,112.87, 924 ,,,,,,,,,,,
337,LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,502.54,502.54, 923 ,,,,,,,,,,,
338,OGD,Ogden-Hinckley,Ogden,UT,116.68,116.68, 898 ,,,,,,,,,,,
339,PAH,Barkley Regional,Paducah,KY,531.44,531.44, 896 ,,,,,,,,,,,
340,HYS,Hays Regional,Hays,KS,490.69,490.69, 828 ,,,,,,,,,,,
341,CDV,Merle K Mudhole Smith,Cordova,AK,394.80,394.80, 827 ,,,,,,,,,,,
342,BKG,Branson Airport,Branson,MO,92.85,92.85, 797 ,,,,,,,,,,,
343,GUC,Gunnison-Crested Butte Regional,Gunnison,CO,577.03,577.03, 785 ,,,,,,,,,,,
344,APN,Alpena County Regional,Alpena,MI,524.16,524.16, 778 ,,,,,,,,,,,
345,SHD,Shenandoah Valley Regional,Staunton,VA,477.85,477.85, 756 ,,,,,,,,,,,
346,WRG,Wrangell Airport,Wrangell,AK,383.13,383.13, 749 ,,,,,,,,,,,
347,MMH,Mammoth Lakes Airport,Mammoth Lakes,CA,251.44,251.44, 698 ,,,,,,,,,,,
347,PUB,Pueblo Memorial,Pueblo,CO,462.12,462.12, 698 ,,,,,,,,,,,
349,PIR,Pierre Regional,Pierre,SD,493.49,493.49, 688 ,,,,,,,,,,,
350,SLN,Salina Regional,Salina,KS,476.66,476.66, 683 ,,,,,,,,,,,
351,INL,Falls International Einarson Field,International Falls,MN,520.58,520.58, 675 ,,,,,,,,,,,
352,VEL,Vernal Regional,Vernal,UT,488.05,488.05, 640 ,,,,,,,,,,,
353,PQI,Presque Isle International,Presque Isle/Houlton,ME,483.96,483.96, 637 ,,,,,,,,,,,
354,PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,372.56,372.56, 606 ,,,,,,,,,,,
355,CGI,Cape Girardeau Regional,Cape Girardeau,MO,468.06,468.06, 603 ,,,,,,,,,,,
356,AKN,King Salmon Airport,King Salmon,AK,750.24,750.24, 540 ,,,,,,,,,,,
357,UIN,Quincy Regional-Baldwin Field,Quincy,IL,432.50,432.50, 537 ,,,,,,,,,,,
358,ENA,Kenai Municipal,Kenai,AK,672.34,672.34, 535 ,,,,,,,,,,,
359,JMS,Jamestown Regional,Jamestown,ND,489.00,489.00, 526 ,,,,,,,,,,,
360,CNY,Canyonlands Field,Moab,UT,419.14,419.14, 509 ,,,,,,,,,,,
361,ATY,Watertown Regional,Watertown,SD,407.60,407.60, 482 ,,,,,,,,,,,
362,DLG,Dillingham Airport,Dillingham,AK,885.16,885.16, 472 ,,,,,,,,,,,
363,OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,470.96,470.96, 411 ,,,,,,,,,,,
364,LBL,Liberal Mid-America Regional,Liberal,KS,450.75,450.75, 410 ,,,,,,,,,,,
365,YAK,Yakutat Airport,Yakutat,AK,430.37,430.37, 401 ,,,,,,,,,,,
366,MKK,Molokai,Hoolehua,HI,196.47,196.47, 396 ,,,,,,,,,,,
367,HYA,Barnstable Municipal-Boardman/Polando Field,Hyannis,MA,492.40,492.40, 385 ,,,,,,,,,,,
368,DVL,Devils Lake Regional,Devils Lake,ND,474.40,474.40, 373 ,,,,,,,,,,,
369,LWB,Greenbrier Valley,Lewisburg,WV,479.09,479.09, 371 ,,,,,,,,,,,
370,LNY,Lanai Airport,Lanai,HI,439.26,439.26, 336 ,,,,,,,,,,,
371,HOM,Homer Airport,Homer,AK,572.90,572.90, 304 ,,,,,,,,,,,
372,WYS,Yellowstone,West Yellowstone,MT,369.43,369.43, 272 ,,,,,,,,,,,
373,JHM,Kapalua Airport,Kapalua,HI,269.66,269.66, 258 ,,,,,,,,,,,
374,LEB,Lebanon Municipal,Lebanon-Hanover,NH,376.29,376.29, 212 ,,,,,,,,,,,
375,MWA,Veterans Airport of Southern Illinois,Marion/Herrin,IL,460.65,460.65, 186 ,,,,,,,,,,,
376,AUG,Augusta State,Augusta/Waterville,ME,374.92,374.92, 184 ,,,,,,,,,,,
377,BHB,Hancock County-Bar Harbor,Bar Harbor,ME,464.33,464.33, 163 ,,,,,,,,,,,
378,VCT,Victoria Regional,Victoria,TX,483.97,483.97, 127 ,,,,,,,,,,,
379,ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,480.00,480.00, 124 ,,,,,,,,,,,
379,TEX,Telluride Regional,Telluride,CO,678.22,678.22, 124 ,,,,,,,,,,,
381,ADK,Adak,Adak Island,AK,1028.50,1028.50, 122 ,,,,,,,,,,,
382,DDC,Dodge City Regional,Dodge City,KS,423.95,423.95, 119 ,,,,,,,,,,,
383,PVC,Provincetown Municipal,Provincetown,MA,544.75,544.75, 118 ,,,,,,,,,,,
384,RUT,Rutland - Southern Vermont Regional,Rutland,VT,429.35,429.35, 114 ,,,,,,,,,,,
385,RKD,Knox County Regional,Rockland,ME,443.75,443.75, 113 ,,,,,,,,,,,
386,CEZ,Cortez Municipal,Cortez,CO,402.39,402.39, 93 ,,,,,,,,,,,
386,IRK,Kirksville Regional,Kirksville,MO,385.87,385.87, 93 ,,,,,,,,,,,
388,VDZ,Valdez Pioneer Field,Valdez,AK,704.88,704.88, 90 ,,,,,,,,,,,
389,DEC,Decatur Airport,Decatur,IL,421.45,421.45, 89 ,,,,,,,,,,,
390,SHR,Sheridan County,Sheridan,WY,857.42,857.42, 85 ,,,,,,,,,,,
391,SLK,Adirondack Regional,Saranac Lake/Lake Placid,NY,388.45,388.45, 83 ,,,,,,,,,,,
392,DUJ,DuBois Regional,DuBois,PA,487.80,487.80, 78 ,,,,,,,,,,,
393,RIW,Riverton Regional,Riverton/Lander,WY,836.10,836.10, 73 ,,,,,,,,,,,
394,MAZ,Eugenio Maria de Hostos,Mayaguez,PR,284.93,284.93, 70 ,,,,,,,,,,,
395,MGW,Morgantown Municipal-Walter L. Bill Hart Field,Morgantown,WV,487.89,487.89, 67 ,,,,,,,,,,,
396,SDP,Sand Point,Sandpoint,AK,937.90,937.90, 62 ,,,,,,,,,,,
397,CDB,Cold Bay Airport,Cold Bay,AK,890.60,890.60, 47 ,,,,,,,,,,,
398,MCK,McCook Ben Nelson Regional,McCook,NE,524.40,524.40, 46 ,,,,,,,,,,,
399,BFD,Bradford Regional,Bradford,PA,532.62,532.62, 45 ,,,,,,,,,,,
399,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,324.80,324.80, 45 ,,,,,,,,,,,
401,VQS,Antonio Rivera Rodriguez,Vieques,PR,444.80,444.80, 44 ,,,,,,,,,,,
402,PDT,Eastern Oregon Regional at Pendleton,Pendleton,OR,472.21,472.21, 41 ,,,,,,,,,,,
403,AOO,Altoona-Blair County,Altoona,PA,641.00,641.00, 40 ,,,,,,,,,,,
404,TVF,Thief River Falls Regional,Thief River Falls,MN,457.47,457.47, 38 ,,,,,,,,,,,
404,TBN,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,338.42,338.42, 38 ,,,,,,,,,,,
406,CDR,Chadron Municipal,Chadron,NE,329.73,329.73, 36 ,,,,,,,,,,,
407,CVN,Clovis Municipal,Clovis,NM,392.74,392.74, 31 ,,,,,,,,,,,
408,IPL,Imperial County,El Centro,CA,364.50,364.50, 29 ,,,,,,,,,,,
408,SDY,Sidney Richland Regional,Sidney,MT,496.33,496.33, 29 ,,,,,,,,,,,
410,SOW,Show Low Regional,Show Low,AZ,435.08,435.08, 28 ,,,,,,,,,,,
411,MSS,Massena International-Richards Field,Massena,NY,541.40,541.40, 26 ,,,,,,,,,,,
412,CNM,Cavern City Air Terminal,Carlsbad,NM,576.00,576.00, 25 ,,,,,,,,,,,
413,MSL,Northwest Alabama Regional,Muscle Shoals,AL,343.21,343.21, 23 ,,,,,,,,,,,
414,MCE,Merced Regional/Macready Field,Merced,CA,449.60,449.60, 21 ,,,,,,,,,,,
415,AIA,Alliance Municipal,Alliance,NE,618.50,618.50, 19 ,,,,,,,,,,,
416,CPX,Benjamin Rivera Noriega,Culebra,PR,300.75,300.75, 16 ,,,,,,,,,,,
416,LNS,Lancaster Airport,Lancaster,PA,233.00,233.00, 16 ,,,,,,,,,,,
418,FKL,Venango Regional,Franklin/Oil City,PA,446.00,446.00, 15 ,,,,,,,,,,,
419,GGW,Wokal Field Glasgow Valley County,Glasgow,MT,366.00,366.00, 14 ,,,,,,,,,,,
420,GDV,Dawson Community,Glendive,MT,552.80,552.80, 13 ,,,,,,,,,,,
421,OLF,L. M. Clayton,Wolf Point,MT,380.00,380.00, 12 ,,,,,,,,,,,
422,HVR,Havre City-County,Havre,MT,424.50,424.50, 8 ,,,,,,,,,,,
423,GLH,Greenville Mid Delta,Greenville,MS,596.00,596.00, 5 ,,,,,,,,,,,
424,TUP,Tupelo Regional,Tupelo,MS,427.33,427.33, 3 ,,,,,,,,,,,
424,PGA,Page Municipal,Page,AZ,404.00,404.00, 3 ,,,,,,,,,,,
426,HRO,Boone County,Harrison,AR,278.00,278.00, 2 ,,,,,,,,,,,
426,SHH,Shishmaref Airport,Shishmaref,AK,520.00,520.00, 2 ,,,,,,,,,,,
426,ELD,South Arkansas Regional at Goodwin Field,El Dorado,AR,489.00,489.00, 2 ,,,,,,,,,,,
426,CYF,Chefornak Airport,Chefornak,AK,895.00,895.00, 2 ,,,,,,,,,,,
430,MKT,Mankato Regional,Mankato,MN,138.00,138.00, 1 ,,,,,,,,,,,
430,HOT,Memorial Field,Hot Springs,AR,532.00,532.00, 1 ,,,,,,,,,,,
430,BKW,Raleigh County Memorial,Beckley,WV,429.00,429.00, 1 ,,,,,,,,,,,
430,GAL,Edward G. Pitka Sr.,Galena,AK,681.00,681.00, 1 ,,,,,,,,,,,
430,PKB,Mid-Ohio Valley Regional,Parkersburg,WV,593.00,593.00, 1 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
