2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2019),2019 Passengers (10% sample),,,,,,,,,,,
62,PVD,Theodore Francis Green State,Providence,RI,337.63,337.63," 117,256 ",,,,,,,,,,,
63,OKC,Will Rogers World,Oklahoma City,OK,391.17,391.17," 117,098 ",,,,,,,,,,,
64,BOI,Boise Air Terminal,Boise,ID,353.90,353.90," 112,882 ",,,,,,,,,,,
65,ORF,Norfolk International,Norfolk,VA,409.06,409.06," 109,959 ",,,,,,,,,,,
66,GRR,Gerald R. Ford International,Grand Rapids,MI,369.69,369.69," 108,277 ",,,,,,,,,,,
67,SDF,Louisville Muhammad Ali International,Louisville,KY,378.60,378.60," 107,604 ",,,,,,,,,,,
68,GEG,Spokane International,Spokane,WA,352.55,352.55," 107,090 ",,,,,,,,,,,
69,CHS,Charleston AFB/International,Charleston,SC,354.46,354.46," 106,675 ",,,,,,,,,,,
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,494.67,494.67," 106,205 ",,,,,,,,,,,
71,RNO,Reno/Tahoe International,Reno,NV,342.79,342.79," 101,528 ",,,,,,,,,,,
72,LGB,Long Beach Airport,Long Beach,CA,242.11,242.11," 99,852 ",,,,,,,,,,,
73,OGG,Kahului Airport,Kahului,HI,258.59,258.59," 99,815 ",,,,,,,,,,,
74,ELP,El Paso International,El Paso,TX,372.71,372.71," 97,152 ",,,,,,,,,,,
75,TUS,Tucson International,Tucson,AZ,390.91,390.91," 96,391 ",,,,,,,,,,,
76,ALB,Albany International,Albany,NY,392.43,392.43," 89,018 ",,,,,,,,,,,
77,DSM,Des Moines International,Des Moines,IA,392.80,392.80," 83,986 ",,,,,,,,,,,
78,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,444.45,444.45," 83,344 ",,,,,,,,,,,
79,TUL,Tulsa International,Tulsa,OK,407.63,407.63," 81,978 ",,,,,,,,,,,
80,SYR,Syracuse Hancock International,Syracuse,NY,364.47,364.47," 77,477 ",,,,,,,,,,,
81,ROC,Greater Rochester International,Rochester,NY,373.61,373.61," 76,097 ",,,,,,,,,,,
82,GSP,Greenville-Spartanburg International,Greer,SC,395.88,395.88," 68,771 ",,,,,,,,,,,
83,MSN,Dane County Regional-Truax Field,Madison,WI,457.35,457.35," 67,555 ",,,,,,,,,,,
84,TYS,McGhee Tyson,Knoxville,TN,404.56,404.56," 65,985 ",,,,,,,,,,,
85,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,414.07,414.07," 59,997 ",,,,,,,,,,,
86,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,258.78,258.78," 58,932 ",,,,,,,,,,,
87,PWM,Portland International Jetport,Portland,ME,368.68,368.68," 58,841 ",,,,,,,,,,,
88,SAV,Savannah/Hilton Head International,Savannah,GA,368.47,368.47," 58,711 ",,,,,,,,,,,
89,GSO,Piedmont Triad International,Greensboro/High Point,NC,414.56,414.56," 56,458 ",,,,,,,,,,,
90,HPN,Westchester County,White Plains,NY,425.00,425.00," 55,315 ",,,,,,,,,,,
91,SFB,Orlando Sanford International,Sanford,FL,131.14,131.14," 52,979 ",,,,,,,,,,,
92,PNS,Pensacola International,Pensacola,FL,422.97,422.97," 51,668 ",,,,,,,,,,,
93,LIH,Lihue Airport,Lihue,HI,256.47,256.47," 50,998 ",,,,,,,,,,,
94,FAT,Fresno Yosemite International,Fresno,CA,405.33,405.33," 50,668 ",,,,,,,,,,,
95,MHT,Manchester-Boston Regional,Manchester,NH,389.60,389.60," 50,192 ",,,,,,,,,,,
96,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,396.01,396.01," 49,142 ",,,,,,,,,,,
97,DAY,James M Cox/Dayton International,Dayton,OH,440.48,440.48," 46,771 ",,,,,,,,,,,
98,XNA,Northwest Arkansas Regional,Fayetteville,AR,469.38,469.38," 46,289 ",,,,,,,,,,,
99,ISP,Long Island MacArthur,Islip,NY,266.49,266.49," 46,103 ",,,,,,,,,,,
100,PIE,St Pete Clearwater International,St. Petersburg,FL,134.69,134.69," 44,522 ",,,,,,,,,,,
101,COS,City of Colorado Springs Municipal,Colorado Springs,CO,389.56,389.56," 44,253 ",,,,,,,,,,,
102,MDT,Harrisburg International,Harrisburg,PA,407.86,407.86," 44,240 ",,,,,,,,,,,
103,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,339.31,339.31," 42,686 ",,,,,,,,,,,
104,PSP,Palm Springs International,Palm Springs,CA,386.74,386.74," 41,015 ",,,,,,,,,,,
105,MYR,Myrtle Beach International,Myrtle Beach,SC,282.67,282.67," 40,831 ",,,,,,,,,,,
106,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,413.73,413.73," 40,285 ",,,,,,,,,,,
107,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,152.35,152.35," 39,254 ",,,,,,,,,,,
108,LEX,Blue Grass,Lexington,KY,418.46,418.46," 39,029 ",,,,,,,,,,,
109,BTV,Burlington International,Burlington,VT,400.92,400.92," 38,377 ",,,,,,,,,,,
110,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,527.35,527.35," 36,813 ",,,,,,,,,,,
111,AVL,Asheville Regional,Asheville,NC,307.33,307.33," 36,546 ",,,,,,,,,,,
112,EUG,Mahlon Sweet Field,Eugene,OR,384.91,384.91," 35,688 ",,,,,,,,,,,
113,MAF,Midland International Air and Space Port,Midland/Odessa,TX,468.75,468.75," 35,109 ",,,,,,,,,,,
114,CAE,Columbia Metropolitan,Columbia,SC,448.87,448.87," 33,691 ",,,,,,,,,,,
115,FSD,Joe Foss Field,Sioux Falls,SD,419.68,419.68," 33,629 ",,,,,,,,,,,
116,BZN,Bozeman Yellowstone International,Bozeman,MT,434.78,434.78," 33,446 ",,,,,,,,,,,
117,CHA,Lovell Field,Chattanooga,TN,422.99,422.99," 32,137 ",,,,,,,,,,,
118,SGF,Springfield-Branson National,Springfield,MO,421.25,421.25," 31,906 ",,,,,,,,,,,
119,PGD,Punta Gorda Airport,Punta Gorda,FL,151.17,151.17," 31,206 ",,,,,,,,,,,
120,MFR,Rogue Valley International - Medford,Medford,OR,372.40,372.40," 30,361 ",,,,,,,,,,,
121,ILM,Wilmington International,Wilmington,NC,432.98,432.98," 29,825 ",,,,,,,,,,,
122,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,492.46,492.46," 29,340 ",,,,,,,,,,,
123,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,347.88,347.88," 29,147 ",,,,,,,,,,,
124,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,402.34,402.34," 28,841 ",,,,,,,,,,,
125,LBB,Lubbock Preston Smith International,Lubbock,TX,417.60,417.60," 28,024 ",,,,,,,,,,,
126,FAR,Hector International,Fargo,ND,439.21,439.21," 27,627 ",,,,,,,,,,,
127,TTN,Trenton Mercer,Trenton,NJ,132.47,132.47," 27,149 ",,,,,,,,,,,
128,RDM,Roberts Field,Bend/Redmond,OR,379.00,379.00," 27,038 ",,,,,,,,,,,
129,ACY,Atlantic City International,Atlantic City,NJ,146.56,146.56," 26,665 ",,,,,,,,,,,
130,MFE,McAllen Miller International,Mission/McAllen/Edinburg,TX,414.01,414.01," 26,635 ",,,,,,,,,,,
131,FAI,Fairbanks International,Fairbanks,AK,456.36,456.36," 26,381 ",,,,,,,,,,,
132,ITO,Hilo International,Hilo,HI,259.56,259.56," 26,241 ",,,,,,,,,,,
133,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,422.29,422.29," 26,040 ",,,,,,,,,,,
134,SBN,South Bend International,South Bend,IN,397.79,397.79," 25,727 ",,,,,,,,,,,
135,SBA,Santa Barbara Municipal,Santa Barbara,CA,444.86,444.86," 25,217 ",,,,,,,,,,,
136,PAE,Snohomish County,Everett,WA,296.88,296.88," 25,213 ",,,,,,,,,,,
137,CAK,Akron-Canton Regional,Akron,OH,361.31,361.31," 24,715 ",,,,,,,,,,,
138,FWA,Fort Wayne International,Fort Wayne,IN,402.31,402.31," 24,621 ",,,,,,,,,,,
139,BLI,Bellingham International,Bellingham,WA,264.26,264.26," 24,376 ",,,,,,,,,,,
140,BIL,Billings Logan International,Billings,MT,440.33,440.33," 24,299 ",,,,,,,,,,,
141,MSO,Missoula International,Missoula,MT,420.19,420.19," 24,063 ",,,,,,,,,,,
142,ECP,Northwest Florida Beaches International,Panama City,FL,401.73,401.73," 23,679 ",,,,,,,,,,,
